symbol,Datetime,Open,High,Low,Close,Volume,trade_count,vwap
META,2025-11-18 20:13:00+00:00,600.33,600.4899,599.8201,599.885,40214.0,872.0,600.005727
META,2025-11-18 20:14:00+00:00,599.9055,600.28,599.9055,600.03,30252.0,763.0,600.078113
META,2025-11-18 20:15:00+00:00,600.065,600.42,599.6717,600.1,50311.0,1062.0,600.083919
META,2025-11-18 20:16:00+00:00,600.09,600.57,599.971,600.3101,50557.0,855.0,600.323408
META,2025-11-18 20:17:00+00:00,600.4,600.84,600.22,600.475,32932.0,936.0,600.564202
META,2025-11-18 20:18:00+00:00,600.475,600.62,600.12,600.42,38131.0,843.0,600.348898
META,2025-11-18 20:19:00+00:00,600.41,600.64,600.14,600.4767,32215.0,892.0,600.37292
META,2025-11-18 20:20:00+00:00,600.53,600.9,600.18,600.83,47643.0,923.0,600.549737
META,2025-11-18 20:21:00+00:00,600.881,601.7338,600.87,601.2438,53392.0,1165.0,601.351066
META,2025-11-18 20:22:00+00:00,601.24,601.565,601.01,601.18,26671.0,793.0,601.334884
META,2025-11-18 20:23:00+00:00,601.23,601.29,600.73,601.0619,28407.0,886.0,601.030002
META,2025-11-18 20:24:00+00:00,601.11,601.11,600.17,600.42,35753.0,994.0,600.511523
META,2025-11-18 20:25:00+00:00,600.3964,600.86,599.99,600.1386,37482.0,1154.0,600.338704
META,2025-11-18 20:26:00+00:00,600.03,600.59,599.7601,600.28,45386.0,1124.0,600.178793
META,2025-11-18 20:27:00+00:00,600.275,600.275,599.7601,600.1017,29197.0,823.0,600.057795
META,2025-11-18 20:28:00+00:00,599.96,600.57,599.4901,600.4734,35429.0,900.0,600.15061
META,2025-11-18 20:29:00+00:00,600.45,601.68,600.4101,601.48,41626.0,1215.0,601.195199
META,2025-11-18 20:30:00+00:00,601.5599,601.73,600.76,601.4632,50576.0,1318.0,601.368221
META,2025-11-18 20:31:00+00:00,601.35,601.56,600.41,600.51,28556.0,1016.0,600.964903
META,2025-11-18 20:32:00+00:00,600.381,600.7,599.92,600.11,34691.0,947.0,600.244635
META,2025-11-18 20:33:00+00:00,600.0,600.48,599.95,600.185,29073.0,962.0,600.196592
META,2025-11-18 20:34:00+00:00,600.185,600.35,599.84,599.965,38820.0,1106.0,600.09745
META,2025-11-18 20:35:00+00:00,600.06,600.51,600.0,600.36,25801.0,925.0,600.284347
META,2025-11-18 20:36:00+00:00,600.36,600.55,600.131,600.38,30291.0,918.0,600.368484
META,2025-11-18 20:37:00+00:00,600.29,600.895,600.24,600.885,23937.0,1044.0,600.493987
META,2025-11-18 20:38:00+00:00,600.885,601.43,600.83,601.31,28409.0,1019.0,601.108843
META,2025-11-18 20:39:00+00:00,601.31,601.3734,601.0,601.22,34671.0,1127.0,601.155314
META,2025-11-18 20:40:00+00:00,601.22,601.49,600.8,600.94,49175.0,1278.0,601.168737
META,2025-11-18 20:41:00+00:00,600.9,601.42,600.8312,601.41,31430.0,990.0,601.182657
META,2025-11-18 20:42:00+00:00,601.325,601.53,601.01,601.155,42958.0,1102.0,601.297973
META,2025-11-18 20:43:00+00:00,601.27,601.5728,600.97,601.22,40030.0,1066.0,601.329351
META,2025-11-18 20:44:00+00:00,601.14,601.27,600.6058,600.69,56938.0,1361.0,600.974837
META,2025-11-18 20:45:00+00:00,600.74,600.76,600.22,600.66,35864.0,1152.0,600.544134
META,2025-11-18 20:46:00+00:00,600.67,601.029,599.9,600.0,71974.0,1831.0,600.462943
META,2025-11-18 20:47:00+00:00,599.925,600.72,599.82,600.635,57561.0,1465.0,600.169684
META,2025-11-18 20:48:00+00:00,600.6098,601.47,600.5201,601.37,37443.0,1526.0,601.032146
META,2025-11-18 20:49:00+00:00,601.43,601.49,600.74,600.83,36427.0,1260.0,601.121133
META,2025-11-18 20:50:00+00:00,600.84,601.29,600.26,601.06,64416.0,2361.0,600.907763
META,2025-11-18 20:51:00+00:00,601.05,601.49,600.8,601.005,64967.0,1708.0,601.090161
META,2025-11-18 20:52:00+00:00,601.01,601.27,600.7744,600.92,52008.0,1530.0,601.006722
META,2025-11-18 20:53:00+00:00,600.905,601.11,600.2,600.345,82388.0,2528.0,600.680193
META,2025-11-18 20:54:00+00:00,600.28,600.56,599.0,599.34,125580.0,3339.0,599.909713
META,2025-11-18 20:55:00+00:00,599.215,599.52,597.5,599.04,237811.0,5970.0,598.763322
META,2025-11-18 20:56:00+00:00,599.01,599.03,598.24,598.53,173945.0,3995.0,598.679955
META,2025-11-18 20:57:00+00:00,598.56,598.9594,598.24,598.835,243196.0,5440.0,598.654045
META,2025-11-18 20:58:00+00:00,598.92,599.14,598.36,598.69,200216.0,4971.0,598.679661
META,2025-11-18 20:59:00+00:00,598.67,598.84,597.53,597.69,333042.0,8745.0,598.064298
META,2025-11-18 21:00:00+00:00,597.6639,598.9,597.6639,598.1,2202646.0,442.0,597.693294
META,2025-11-18 21:01:00+00:00,598.18,598.21,597.31,597.51,22314.0,311.0,597.907335
META,2025-11-18 21:02:00+00:00,597.65,597.69,597.51,597.6,25180.0,284.0,597.657971
META,2025-11-18 21:03:00+00:00,597.68,597.69,597.36,597.69,4183.0,159.0,597.620317
META,2025-11-18 21:04:00+00:00,597.33,597.69,597.33,597.6,214588.0,123.0,597.681176
META,2025-11-18 21:05:00+00:00,597.68,597.8,597.466,597.6006,3758.0,106.0,597.628105
META,2025-11-18 21:06:00+00:00,597.65,598.02,597.65,597.7,1787.0,151.0,597.925279
META,2025-11-18 21:07:00+00:00,597.72,597.8895,597.69,597.69,44507.0,808.0,597.73295
META,2025-11-18 21:08:00+00:00,597.8088,597.88,597.69,597.87,3747.0,142.0,597.80929
META,2025-11-18 21:09:00+00:00,597.88,597.88,597.7,597.71,2375.0,139.0,597.810659
META,2025-11-18 21:10:00+00:00,597.71,597.88,597.7003,597.88,3220.0,101.0,597.832771
META,2025-11-18 21:11:00+00:00,597.8,597.88,597.7,597.7,4131.0,98.0,597.758618
META,2025-11-18 21:12:00+00:00,597.7,597.7,597.5,597.5,609.0,59.0,597.616667
